file,status,iou,missing_pct,extra_pct,volume_error_pct,com_offset,hausdorff_max,ops,emitted,overlaps,failed,inert,skipped_total,association_area,stock_kind,stock_lines,script_lines,feature_ops,trim_ops,feature_share,trials,stock_search_s,first_trial_s,extra_trials_s,plan_s
cgb203.step,ok,0.3996,0.0,150.25,150.249,25.0328,49.3314,3,2,0,0,1,152,0.295,outline,306,407,1,1,0.5,6,41.1,2.2,14.7,73.7
cgb207.step,ok,0.3621,0.401,175.051,173.294,4.9444,15.8763,65,63,0,0,1,239,0.906,outline,157,674,6,57,0.095,6,21.9,18.6,90.0,159.4
cgb209.step,ok,0.9347,0.064,6.92,6.617,0.2685,8.7992,67,65,1,2,0,58,0.603,outline,146,737,15,50,0.231,6,13.4,9.4,40.9,69.5
cgb205.step,ok,0.8457,4.214,13.263,9.534,8.4603,17.1768,121,110,6,5,5,116,0.557,outline,175,854,56,54,0.509,6,36.7,35.5,169.2,258.5
cgb218.step,ok,0.9322,0.039,7.233,7.095,0.8857,4.9998,32,30,0,0,2,51,0.247,outline,15,161,16,14,0.533,1,27.0,23.3,0,58.1
cgb215.step,ok,0.9463,0.403,5.245,4.873,0.6465,4.5626,157,142,1,5,8,237,0.487,outline,245,1365,34,108,0.239,6,37.2,42.6,203.0,296.4
cgb225.step,ok,0.827,0.271,20.592,20.145,3.6986,13.0295,149,136,2,6,6,232,0.212,outline,186,974,24,112,0.176,6,20.0,29.6,145.7,238.5
cgb230.step,ok,0.8976,0.017,11.39,11.373,1.0046,14.6513,29,22,2,0,7,158,0.531,outline,306,493,10,12,0.455,6,45.0,3.0,21.1,162.0
cgb212.step,ok,0.7108,0.629,39.797,38.992,4.4479,37.439,128,118,4,4,5,246,0.476,outline,302,1367,29,89,0.246,5,162.2,58.4,238.5,511.8
cgb201.step,ok,0.7994,0.524,24.441,23.886,5.5663,25.6431,175,161,7,0,7,269,0.399,outline,111,1445,46,115,0.286,6,11.8,117.8,567.6,770.1
cgb238.step,ok,0.8526,1.476,15.551,14.398,3.8452,14.6327,91,87,11,0,3,279,0.317,outline,90,692,35,52,0.402,6,14.6,32.0,151.1,258.5
cgb241.step,ok,0.8247,1.336,19.639,16.373,20.0985,98.1564,24,3,0,0,0,31,1.0,other,461,467,3,0,1.0,6,36.4,11.5,15.6,109.1
cgb245.step,ok,0.9008,5.205,5.234,0.206,3.4963,13.4005,349,43,2,0,36,141,0.999,other,503,679,43,0,1.0,2,24.2,8.7,223.2,266.8
cgb249.step,ok,0.4916,0.246,102.924,103.127,16.0846,53.4876,63,60,0,2,1,226,0.061,outline,92,818,15,45,0.25,6,15.1,21.8,96.2,166.2
cgb243.step,ok,0.5577,1.292,76.977,76.647,0.9207,18.5131,158,144,10,0,10,321,0.593,outline,198,1147,78,66,0.542,6,12.6,101.7,487.1,729.5
cgb247.step,ok,0.9102,0.455,9.37,9.054,14.7152,70.9827,247,219,3,4,15,977,0.414,outline,155,2088,17,202,0.078,6,22.2,148.5,699.2,1054.5
