file,status,iou,missing_pct,extra_pct,volume_error_pct,com_offset,hausdorff_max,ops,emitted,overlaps,failed,inert,skipped_total,association_area,stock_kind,stock_lines,script_lines,feature_ops,trim_ops,feature_share,trials,stock_search_s,first_trial_s,extra_trials_s,plan_s
10000.step,ok,0.9986,0.162,0.0,-0.18,0.0308,2.1875,11,11,0,0,0,1,0.366,outline,33,116,6,5,0.545,1,6.4,1.2,0,8.1
1000.step,ok,0.9993,0.074,0.0,-0.074,0.0088,0.0303,15,14,0,0,0,0,0.391,outline,12,121,9,5,0.643,1,5.9,1.3,0,8.8
10007.step,ok,0.9945,0.235,0.314,0.079,0.0325,2.8483,22,22,1,0,0,1,0.603,outline,28,193,6,16,0.273,1,5.9,1.6,0,9.3
10020.step,ok,0.9982,0.115,0.06,-0.055,0.0163,0.3425,25,25,0,0,0,1,0.256,outline,11,185,9,16,0.36,1,6.5,1.8,0,10.9
10033.step,ok,0.9995,0.054,0.0,-0.053,0.0088,0.127,12,12,0,0,0,3,0.5,outline,11,110,3,9,0.25,1,3.6,1.2,0,5.5
1004.step,ok,1.0,0.0,0.0,-0.001,0.0,0.0012,7,7,0,0,0,1,0.261,outline,18,66,6,1,0.857,1,5.3,1.0,0,6.7
10038.step,ok,0.9856,0.003,1.454,1.451,0.094,3.231,4,4,0,0,0,10,0.712,outline,10,41,3,1,0.75,1,6.3,0.8,0,8.8
10046.step,ok,0.9992,0.074,0.001,-0.073,0.0149,2.7088,16,16,0,0,0,1,0.262,outline,22,159,4,12,0.25,1,4.8,1.4,0,7.8
10047.step,ok,0.9998,0.017,0.001,-0.017,0.0015,0.0218,10,10,0,0,0,0,0.364,outline,12,77,7,3,0.7,1,4.9,1.2,0,7.0
10049.step,ok,1.0,0.002,0.002,-0.001,0.0001,0.006,12,12,0,0,0,1,0.549,outline,40,136,6,6,0.5,1,4.7,1.3,0,6.7
10063.step,ok,0.9966,0.01,0.334,0.324,0.0319,2.4231,12,12,0,0,0,3,0.345,outline,30,101,8,4,0.667,2,5.7,1.2,0.9,9.2
10060.step,ok,0.9441,5.058,0.561,-4.498,0.5933,3.1702,11,11,1,0,0,3,0.405,outline,42,122,6,5,0.545,6,4.8,1.1,4.1,11.2
1007.step,ok,1.0,0.0,0.002,0.001,0.0001,2.6879,12,12,0,0,0,2,0.199,outline,16,129,3,9,0.25,1,4.6,1.3,0,7.4
10077.step,ok,0.9995,0.002,0.053,0.051,0.0087,2.6481,15,14,0,0,1,0,0.192,outline,18,135,6,8,0.429,1,4.3,1.2,0,5.7
1008.step,ok,1.0,0.0,0.0,-0.0,0.0,0.0008,6,6,0,0,0,0,0.158,outline,21,49,4,2,0.667,1,3.2,0.9,0,4.3
10096.step,ok,0.9968,0.004,0.318,0.313,0.0734,0.9734,12,12,1,0,0,7,0.599,outline,33,131,6,6,0.5,1,5.9,1.3,0,8.2
10098.step,ok,1.0,0.003,0.001,-0.001,0.0003,0.0141,17,17,0,0,0,1,0.291,outline,38,181,5,12,0.294,1,5.3,1.6,0,7.9
10092.step,ok,0.9916,0.087,0.763,0.654,0.0441,2.1434,19,18,0,0,1,6,0.599,outline,54,165,3,15,0.167,3,5.2,1.4,2.0,10.8
10101.step,ok,0.9998,0.019,0.002,-0.017,0.0009,4.361,17,17,0,0,0,2,0.25,outline,18,132,6,11,0.353,1,5.1,1.4,0,7.7
10119.step,ok,0.9998,0.02,0.004,-0.016,0.0014,1.9722,12,12,0,0,0,0,0.547,outline,16,98,7,5,0.583,1,4.8,1.3,0,6.8
10127.step,ok,0.9682,0.008,3.278,3.27,0.2167,4.8224,9,8,0,0,1,3,0.348,outline,10,50,5,3,0.625,1,5.3,0.3,0,7.0
10103.step,ok,0.9823,0.062,1.74,1.678,0.0768,2.7021,19,19,0,0,0,8,0.242,outline,10,126,6,13,0.316,1,5.8,0.8,0,9.7
1013.step,ok,0.9991,0.02,0.067,0.047,0.0039,0.1196,10,10,0,0,0,4,0.185,outline,12,85,8,2,0.8,1,6.4,1.1,0,8.9
10131.step,ok,0.9995,0.002,0.049,0.047,0.0064,0.7679,5,5,0,0,0,1,0.213,outline,10,41,3,2,0.6,1,3.3,0.9,0,4.4
10138.step,ok,0.9955,0.419,0.031,-0.388,0.0521,1.4385,12,12,1,0,0,3,0.337,outline,19,103,7,5,0.583,1,6.0,1.3,0,8.5
