file,status,iou,missing_pct,extra_pct,volume_error_pct,com_offset,hausdorff_max,ops,emitted,overlaps,failed,inert,skipped_total,association_area,stock_kind,stock_lines,script_lines,feature_ops,trim_ops,feature_share,trials,stock_search_s,first_trial_s,extra_trials_s,plan_s
b123d-ttt-ppp0101.step,ok,0.9976,0.004,0.235,0.231,0.0168,5.6375,17,14,0,0,2,5,0.469,outline,31,192,7,7,0.5,1,4.8,1.9,0,7.6
b123d-ttt-23-t-24-curved-support.step,ok,0.9958,0.002,0.416,0.414,0.0621,9.0905,13,11,0,0,2,4,0.76,outline,70,162,2,9,0.182,2,5.5,1.5,1.2,8.6
b123d-ttt-23-02-02-sm-hanger.step,ok,1.0,0.0,0.0,-0.0,0.0,0.0166,73,6,0,7,8,43,1.0,other,207,209,6,0,1.0,1,12.3,1.4,0,16.4
b123d-ttt-ppp0103.step,ok,0.9825,0.352,1.423,1.071,0.1021,6.7285,11,10,1,0,1,2,0.574,outline,31,84,6,4,0.6,2,4.1,1.3,1.0,6.6
b123d-ttt-24-spo-06-buffer-stand.step,ok,0.979,0.257,1.882,1.686,0.2823,8.1695,16,10,0,0,6,6,0.677,outline,73,251,2,8,0.2,6,6.4,2.8,11.0,21.2
b123d-ttt-ppp0104.step,ok,0.9576,0.0,4.428,4.428,0.3535,5.8616,14,12,0,0,2,5,0.802,outline,61,153,3,9,0.25,6,4.4,1.4,5.2,11.6
b123d-ttt-ppp0102.step,ok,0.6684,0.0,49.601,49.6,2.7546,5.3752,2,1,0,0,1,6,0.43,outline,89,128,0,1,0.0,5,15.3,1.2,4.4,21.1
b123d-ttt-ppp0105.step,ok,0.4751,0.0,110.499,110.499,1.1715,13.652,3,3,0,0,0,12,0.203,outline,127,156,1,2,0.333,6,15.2,1.1,5.1,21.6
b123d-ttt-ppp0106.step,ok,0.9853,0.097,1.392,1.295,0.1389,4.1618,22,21,0,0,1,14,0.771,outline,56,239,6,15,0.286,3,7.2,2.5,3.9,14.8
b123d-ttt-ppp0108.step,ok,0.9958,0.017,0.408,0.39,0.0069,0.1919,21,19,0,0,2,17,0.972,outline,59,205,7,12,0.368,2,4.5,1.6,1.2,8.3
b123d-ttt-ppp0109.step,ok,0.9909,0.004,0.917,0.926,0.6364,6.2492,17,17,0,0,0,4,0.515,outline,36,217,6,11,0.353,1,5.5,1.8,0,7.7
b123d-ttt-ppp0107.step,ok,0.9063,0.0,10.339,10.339,0.5776,4.0702,17,17,0,0,0,24,0.473,outline,103,432,7,10,0.412,6,17.2,2.7,11.5,35.4
b123d-ttt-ppp0110.step,ok,0.7473,0.0,33.819,33.818,2.5567,15.5034,9,9,0,0,0,10,0.0,outline,60,153,0,9,0.0,6,22.9,1.5,5.6,30.3
grm-GRM-03_thumbwheel_drive_screw.step,ok,0.9998,0.009,0.009,0.0,0.0004,0.5708,4,4,0,0,0,6,0.907,turned,4,21,4,0,1.0,1,4.0,0.7,0,6.5
grm-GRM-05_depth_lock_bolt.step,ok,1.0,0.001,0.001,0.0,0.0002,0.0169,2,2,0,0,0,4,0.94,turned,3,13,2,0,1.0,1,3.8,0.7,0,5.8
grm-string_post.step,ok,0.9707,0.03,2.985,2.882,0.0429,0.6905,4,4,0,0,0,21,0.768,turned,4,29,2,2,0.5,6,12.7,0.8,4.9,19.8
nist-nist_ctc_01_asme1_rd.step,ok,0.9867,0.252,1.088,0.908,0.3962,19.5298,103,80,0,0,23,12,0.77,outline,101,715,30,50,0.375,1,12.9,17.3,0,37.4
cgb-threaded_connector_109.step,recognition_failed,,,,,,,,,,,,,,,,,,,,,,,,
cgb-flanged_spool_132.step,ok,0.9,0.757,10.267,9.83,3.4877,20.5294,52,52,4,0,0,39,0.603,turned,38,241,45,7,0.865,6,28.4,4.9,30.0,79.2
nist-nist_ctc_03_asme1_rc.step,ok,0.9747,0.055,2.537,2.522,0.8723,17.2591,95,88,0,0,5,24,0.997,outline,158,959,39,49,0.443,2,10.8,5.5,11.6,31.3
nist-nist_ftc_06_asme1_rd.step,ok,0.9598,0.874,3.273,2.397,2.0423,19.6884,87,77,4,2,6,20,0.791,outline,148,1002,36,41,0.468,6,27.1,20.8,96.8,155.8
nist-nist_ctc_05_asme1_rd.step,ok,0.9484,0.106,5.324,4.078,2.3288,36.4978,65,56,1,1,8,72,0.588,outline,148,548,32,24,0.571,6,18.9,37.3,182.6,250.2
nist-nist_ctc_04_asme1_rd.step,ok,0.9785,0.055,2.141,2.03,1.3593,49.1707,233,226,2,4,0,202,0.288,outline,173,1447,99,127,0.438,5,20.5,46.9,215.9,305.7
nist-nist_ftc_08_asme1_rc.step,ok,0.8784,0.07,13.762,13.682,3.0705,36.8263,155,137,0,1,11,69,0.737,outline,177,958,44,93,0.321,6,38.6,24.9,101.6,178.3
nist-nist_ftc_07_asme1_rd.step,ok,0.8779,1.466,12.241,11.059,1.9081,20.4854,165,152,4,4,2,96,0.858,outline,64,1097,39,113,0.257,6,9.7,38.6,179.8,242.3
nist-nist_ftc_10_asme1_rb.step,ok,0.9659,0.017,3.517,3.466,0.5176,4.7821,124,122,0,0,0,81,0.35,outline,126,1089,57,65,0.467,6,38.6,20.9,81.1,160.1
nist-nist_ftc_09_asme1_rd.step,ok,0.9649,0.0,3.64,3.516,0.7041,25.1643,90,90,0,0,0,16,0.043,box,1,519,62,28,0.689,1,300.3,6.5,0,315.3
nist-nist_ctc_02_asme1_rc.step,ok,0.3624,0.096,175.706,172.389,17.9623,192.506,245,128,0,0,0,227,0.271,outline,210,683,128,0,1.0,0,24.8,,0,48.4
